,,,,,,,,,,,,,,,
"Gráfico No. 2.1.2
Defunciones generales en el año (t) por lugar de ocurrencia del fallecimiento, según quien certifica la defunción
Año 2021 (p**)",,,,,,,,,,,,,,,
Lugar de ocurrencia del fallecimiento,Médico tratante,,Médico no tratante,,Médico legista,,Funcionario del registro civil,,Sin información,,Total Nacional,,,INDICE,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,,,
Total,"29,404",28%,57161,54%,15199,14%,3139,3%,345,0.3%,105248,100%,,,
Establecimiento del Ministerio de Salud,"7,901",27%,15996,28%,1891,12%,0,0%,0,,25788,25%,,,
Establecimiento del I.E.S.S.,"5,462",19%,8316,15%,276,2%,0,0%,0,,14054,13%,,,
Establecimiento de la Junta de Beneficencia,521,2%,849,1%,80,1%,0,0%,0,,1450,1%,,,
Otro establecimiento del estado,640,2%,499,1%,26,0%,0,0%,0,,1165,1%,,,
"Hospital, clínica o consultorio particular","4,737",16%,5289,9%,374,2%,0,0%,0,,10400,10%,,,
Casa,"10,010",34%,25889,45%,7399,49%,3133,100%,0,,46431,44%,,,
Otro,133,0%,322,1%,5153,34%,6,0%,0,,5614,5%,,,
Sin información,0,0%,1,0%,0,0%,0,0%,345,100%,346,0%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
