,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie No. 1.2.2
Número y razón de muertes maternas oportunas (A) en el año (t+1), según región y provincia de residencia habitual del fallecido/a
Periodo 2008 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Por provincia de residencia,Evolución de las Muertes Maternas en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,Estimación de nacimientos,,,,,,,,,,,,,,Evolución de la Razón de Muerte Materna en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,INDICE
,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (**p),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (p**),
Total Nacional,165,208,203,241,204,157,166,150,133,143,138, 123 , 191 , 144 ," 346,070 "," 345,034 "," 343,858 "," 342,154 "," 340,554 "," 339,060 "," 337,700 "," 336,441 "," 335,307 "," 334,255 "," 333,300 "," 332,449 "," 331,679 "," 330,999 ",47.7,60.3,59.0,70.4,59.9,46.3,49.2,44.6,39.7,42.8,41.4,37.0,57.6,43.4,
Región Sierra,71,95,96,112,90,74,62,55,50,54,52, 43 , 69 , 48 ," 148,698 "," 148,239 "," 147,175 "," 146,688 "," 146,235 "," 145,807 "," 145,423 "," 145,069 "," 144,754 "," 144,474 "," 144,231 "," 144,024 "," 143,840 "," 143,535 ",47.7,64.1,65.2,76.4,61.5,50.8,42.6,37.9,34.5,37.4,36.1,29.9,48.0,33.4,
Azuay,12,13,11,13,8,7,3,7,7,9,1, 5 , 9 , 3 ," 16,302 "," 16,121 "," 16,048 "," 15,950 "," 15,862 "," 15,785 "," 15,720 "," 15,661 "," 15,609 "," 15,565 "," 15,530 "," 15,501 "," 15,476 "," 15,435 ",73.6,80.6,68.5,81.5,50.4,44.3,19.1,44.7,44.8,57.8,6.4,32.3,58.2,19.4,
Bolívar,3,8,7,3,7,2,3,3,2,4,3, 3 , 2 , 2 ," 4,999 "," 4,955 "," 4,846 "," 4,772 "," 4,702 "," 4,634 "," 4,571 "," 4,511 "," 4,454 "," 4,399 "," 4,347 "," 4,298 "," 4,253 "," 4,240 ",60.0,161.5,144.4,62.9,148.9,43.2,65.6,66.5,44.9,90.9,69.0,69.8,47.0,47.0,
Cañar,5,4,3,5,8,1,3,2, -,2,2, 3 , - , 4 ," 5,769 "," 5,696 "," 5,620 "," 5,625 "," 5,629 "," 5,629 "," 5,628 "," 5,623 "," 5,618 "," 5,609 "," 5,598 "," 5,590 "," 5,579 "," 5,568 ",86.7,70.2,53.4,88.9,142.1,17.8,53.3,35.6, -,35.7,35.7,53.7,0.0,71.7,
Carchi, -,5,1,3,2,5,2, -,1,1,1, 1 , - , 3 ," 3,560 "," 3,508 "," 3,555 "," 3,521 "," 3,491 "," 3,460 "," 3,432 "," 3,407 "," 3,379 "," 3,355 "," 3,331 "," 3,307 "," 3,283 "," 3,276 ",,142.5,28.1,85.2,57.3,144.5,58.3, -,29.6,29.8,30.0,30.2,0.0,91.4,
Cotopaxi,6,7,12,11,7,10,4,6,5,2,7, 7 , 9 , 4 ," 11,290 "," 11,298 "," 11,246 "," 11,183 "," 11,118 "," 11,052 "," 10,987 "," 10,920 "," 10,856 "," 10,792 "," 10,729 "," 10,668 "," 10,609 "," 10,587 ",53.1,62.0,106.7,98.4,63.0,90.5,36.4,54.9,46.1,18.5,65.2,65.6,84.8,37.7,
Chimborazo,4,13,13,12,9,14,6,6,4,5,13, 6 , 7 , 7 ," 11,494 "," 11,416 "," 11,341 "," 11,176 "," 11,017 "," 10,863 "," 10,715 "," 10,576 "," 10,441 "," 10,314 "," 10,192 "," 10,077 "," 9,968 "," 9,948 ",34.8,113.9,114.6,107.4,81.7,128.9,56.0,56.7,38.3,48.5,127.6,59.5,70.2,70.2,
Imbabura,11,3,5,11,6,7,6,1,4,8,3, 2 , 5 , 1 ," 10,468 "," 10,424 "," 10,419 "," 10,371 "," 10,325 "," 10,280 "," 10,237 "," 10,195 "," 10,156 "," 10,117 "," 10,080 "," 10,041 "," 10,001 "," 9,981 ",105.1,28.8,48.0,106.1,58.1,68.1,58.6,9.8,39.4,79.1,29.8,19.9,50.0,10.0,
Loja,8,6,5,14,6,6,6,3,3,3,2, 4 , 7 , 4 ," 10,411 "," 10,387 "," 10,427 "," 10,378 "," 10,329 "," 10,280 "," 10,229 "," 10,179 "," 10,128 "," 10,075 "," 10,019 "," 9,961 "," 9,901 "," 9,882 ",76.8,57.8,48.0,134.9,58.1,58.4,58.7,29.5,29.6,29.8,20.0,40.2,70.7,40.4,
Pichincha,14,22,24,21,20,13,20,19,15,13,13, 5 , 22 , 14 ," 51,921 "," 51,875 "," 51,015 "," 51,100 "," 51,203 "," 51,321 "," 51,458 "," 51,613 "," 51,786 "," 51,981 "," 52,195 "," 52,428 "," 52,678 "," 52,571 ",27.0,42.4,47.0,41.1,39.1,25.3,38.9,36.8,29.0,25.0,24.9,9.5,41.8,26.6,
Tungurahua,6,7,10,12,10,7,4,5,4,4,2, 6 , 3 , 4 ," 10,889 "," 10,844 "," 10,839 "," 10,785 "," 10,729 "," 10,672 "," 10,614 "," 10,555 "," 10,500 "," 10,443 "," 10,388 "," 10,335 "," 10,281 "," 10,260 ",55.1,64.6,92.3,111.3,93.2,65.6,37.7,47.4,38.1,38.3,19.3,58.1,29.2,38.9,
Santo Domingo de los Tsáchilas,2,7,5,7,7,2,5,3,5,3,5, 1 , 5 , 2 ," 11,595 "," 11,715 "," 11,819 "," 11,827 "," 11,830 "," 11,831 "," 11,832 "," 11,829 "," 11,827 "," 11,824 "," 11,822 "," 11,818 "," 11,811 "," 11,787 ",17.2,59.8,42.3,59.2,59.2,16.9,42.3,25.4,42.3,25.4,42.3,8.5,42.3,16.9,
