,,,,,,,,,,,,,,,
"Cuadro No. 3.1.19 
Defunciones infantiles, por mes en que ocurrieron y sexo y edad del niño 
Año 2021 (p**)",,,,,,,,,,,,,,,
"Total Nacional, por mes de ocurrencia y sexo",,Total muerte infantil (t)1/,Rangos de edad de Menores de un año,,,INDICE,,,,,,,,,
,,,Menores de 7 días,7 - 27 días,28 días a 11 meses,,,,,,,,,,
Nacional,Enero,214,68,57,89,,,,,,,,,,
,Febrero,185,79,44,62,,,,,,,,,,
,Marzo,233,99,49,85,,,,,,,,,,
,Abril,217,94,41,82,,,,,,,,,,
,Mayo,233,98,45,90,,,,,,,,,,
,Junio,229,96,51,82,,,,,,,,,,
,Julio,259,117,66,76,,,,,,,,,,
,Agosto,195,84,40,71,,,,,,,,,,
,Septiembre,234,104,54,76,,,,,,,,,,
,Octubre,225,79,62,84,,,,,,,,,,
,Noviembre,201,79,47,75,,,,,,,,,,
,Diciembre,230,96,45,89,,,,,,,,,,
Hombre,Enero,119,44,27,48,,,,,,,,,,
,Febrero,96,39,19,38,,,,,,,,,,
,Marzo,130,55,23,52,,,,,,,,,,
,Abril,124,60,23,41,,,,,,,,,,
,Mayo,129,57,27,45,,,,,,,,,,
,Junio,123,57,26,40,,,,,,,,,,
,Julio,135,56,40,39,,,,,,,,,,
,Agosto,109,51,21,37,,,,,,,,,,
,Septiembre,142,63,35,44,,,,,,,,,,
,Octubre,122,42,36,44,,,,,,,,,,
,Noviembre,117,50,24,43,,,,,,,,,,
,Diciembre,112,50,22,40,,,,,,,,,,
Mujer,Enero,95,24,30,41,,,,,,,,,,
,Febrero,89,40,25,24,,,,,,,,,,
,Marzo,103,44,26,33,,,,,,,,,,
,Abril,93,34,18,41,,,,,,,,,,
,Mayo,104,41,18,45,,,,,,,,,,
,Junio,106,39,25,42,,,,,,,,,,
,Julio,124,61,26,37,,,,,,,,,,
,Agosto,86,33,19,34,,,,,,,,,,
,Septiembre,92,41,19,32,,,,,,,,,,
,Octubre,103,37,26,40,,,,,,,,,,
,Noviembre,84,29,23,32,,,,,,,,,,
,Diciembre,118,46,23,49,,,,,,,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
