,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.18 
Defunciones maternas, por causa de defuncion y edad de la mujer 
Año 2021 (p**)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lista internacional detallada (Décima revisión CIE - 10),Total,Edad al fallecer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,
Total Nacional (t)1/, 144 , 2 , 1 , 1 , 4 , 2 , 2 , 9 , 4 , 5 , 5 , 4 , 7 , 7 , 7 , 4 , 6 , 4 , 6 , 5 , 9 , 6 , 11 , 9 , 3 , 8 , 6 , 1 , 1 , 3 , 1 , 1 ,
O00   Embarazo ectópico, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 1 , - , - , - , 1 , - , - , - , - ,
"O08   Complicaciones consecutivas al aborto, al embarazo ectópico y al embarazo molar", 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - ,
O14   Hipertensión gestacional [inducida por el embarazo] con proteinuria significativa, 23 , - , - , - , - , 1 , - , 3 , - , 2 , 1 , - , - , 3 , - , - , - , - , 1 , - , 2 , - , 2 , 1 , - , - , 3 , - , - , 3 , 1 , - ,
O15   Eclampsia, 13 , - , - , - , 1 , - , - , - , - , 1 , - , - , 2 , 1 , 1 , 1 , 1 , - , 1 , - , 1 , - , - , 1 , 1 , 1 , - , - , - , - , - , - ,
O23   Infección de las vías genitourinarias en el embarazo, 2 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - ,
O26   Atención a la madre por otras complicaciones principalmente relacionadas con el embarazo, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
O36   Atención materna por otros problemas fetales conocidos o presuntos, 2 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - ,
O41   Otros trastornos del líquido amniótico y de las membranas, 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
O43   Trastornos placentarios, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - ,
O44   Placenta previa, 3 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - ,
O45   Desprendimiento prematuro de la placenta [Abruptio placentae], 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - ,
"O46   Hemorragia anteparto, no clasificada en otra parte", 6 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , - , - , - , - , - , - , - ,
