,,,,,,,,,
,"Gráfico No. 2.1.3
Defunciones generales en el año (t) por tipo de certificación, según región
Año 2021 (p**)",,,,,,,,
,Regiones,Total,,Con certificación,,Sin certificación,,INDICE,
,,,,,,,,,
,,Número,%,Número,%,Número,%,,
, Total Nacional,"105,248",100%,101764,97%,"3,484",3%,,
, Sierra,"47,661",45.28%,46159,45.36%,"1,502",43.11%,,
, Costa,"53,512",50.84%,52389,51.48%,"1,123",32.23%,,
, Amazonica,"3,964",3.77%,3107,3.05%,857,24.60%,,
, Insular,82,0.08%,80,0.08%,2,0.06%,,
, Exterior,29,0.03%,29,0.03%,0,0.00%,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,
,Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
