,,,,,,,,,,,,,,,
"Cuadro No. 3.1.6 
Defunciones en el año (t) de menores de un año, por mes de ocurrencia, según región y provincia de residencia habitual de la madre
Año 2021 (p**)",,,,,,,,,,,,,,,
 Regiones y Provincias , Total , Mes de ocurrencia ,,,,,,,,,,,,INDICE,
,, Enero , Febrero , Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre ,,
Total Nacional (t)1/," 2,655 ", 214 , 185 , 233 , 217 , 233 , 229 , 259 , 195 , 234 , 225 , 201 , 230 ,,
Región Sierra," 1,109 ", 78 , 88 , 84 , 89 , 90 , 95 , 110 , 75 , 109 , 94 , 89 , 108 ,,
Azuay, 97 , 8 , 2 , 8 , 8 , 7 , 11 , 7 , 9 , 13 , 7 , 12 , 5 ,,
Bolívar, 37 , 3 , 4 , 5 , 1 , 4 , 3 , 3 , 1 , 1 , 3 , 6 , 3 ,,
Cañar, 14 , -   , 1 , -   , 2 , 1 , 3 , -   , 3 , -   , -   , -   , 4 ,,
Carchi, 22 , 1 , -   , 1 , 2 , 1 , 2 , 3 , 3 , 4 , 1 , -   , 4 ,,
Cotopaxi, 96 , 10 , 8 , 10 , 4 , 6 , 5 , 9 , 8 , 10 , 10 , 9 , 7 ,,
Chimborazo, 72 , 6 , 4 , 2 , 8 , 7 , 6 , 6 , 6 , 4 , 9 , 6 , 8 ,,
Imbabura, 66 , 3 , 4 , 4 , 5 , 8 , 6 , 7 , 3 , 4 , 5 , 9 , 8 ,,
Loja, 64 , 4 , 3 , 4 , 6 , 7 , 7 , 6 , 4 , 11 , 4 , 4 , 4 ,,
Pichincha, 514 , 34 , 49 , 37 , 42 , 37 , 45 , 56 , 31 , 53 , 46 , 33 , 51 ,,
Tungurahua, 54 , 2 , 3 , 3 , 6 , 10 , 1 , 9 , 2 , 3 , 3 , 4 , 8 ,,
Santo Domingo de los Tsáchilas, 73 , 7 , 10 , 10 , 5 , 2 , 6 , 4 , 5 , 6 , 6 , 6 , 6 ,,
Región Costa," 1,344 ", 120 , 86 , 129 , 111 , 124 , 117 , 129 , 104 , 111 , 115 , 95 , 103 ,,
El Oro, 141 , 19 , 8 , 9 , 18 , 10 , 18 , 13 , 6 , 8 , 12 , 10 , 10 ,,
Esmeraldas, 52 , 7 , 5 , 3 , 4 , -   , 2 , 1 , 8 , 5 , 8 , 6 , 3 ,,
Guayas, 753 , 58 , 46 , 81 , 56 , 73 , 66 , 79 , 65 , 65 , 53 , 47 , 64 ,,
Los Ríos, 133 , 10 , 11 , 15 , 11 , 13 , 10 , 10 , 6 , 13 , 14 , 11 , 9 ,,
Manabí, 206 , 18 , 12 , 20 , 18 , 22 , 14 , 19 , 16 , 16 , 19 , 18 , 14 ,,
Santa Elena, 59 , 8 , 4 , 1 , 4 , 6 , 7 , 7 , 3 , 4 , 9 , 3 , 3 ,,
Región Amazónica, 199 , 16 , 11 , 20 , 17 , 19 , 15 , 20 , 16 , 14 , 15 , 17 , 19 ,,
Morona Santiago, 62 , 4 , 3 , 3 , 8 , 7 , 5 , 3 , 8 , 8 , 3 , 3 , 7 ,,
Napo, 28 , 2 , -   , 5 , 4 , 1 , 1 , 2 , 2 , 3 , 3 , 5 , -   ,,
Pastaza, 14 , 1 , 1 , 1 , -   , -   , 1 , 1 , -   , 2 , 3 , 2 , 2 ,,
Zamora Chinchipe, 11 , 1 , 1 , -   , -   , 1 , -   , 2 , 1 , -   , -   , 3 , 2 ,,
Sucumbíos, 50 , 5 , 3 , 9 , 1 , 5 , 5 , 8 , 3 , 1 , 3 , 3 , 4 ,,
Orellana, 34 , 3 , 3 , 2 , 4 , 5 , 3 , 4 , 2 , -   , 3 , 1 , 4 ,,
Región Insular, 3 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 1 , -   , -   ,,
Galapagos, 3 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 1 , -   , -   ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
