,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.1.2A
Número de defunciones en el año (t+1)  por edades simples (horas) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Años,Total defunciones (t+1)1/,Horas,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,
1990,923,,265,110,65,71,49,57,38,28,23,36,20,35,12,17,15,8,5,12,8,22,4,13,10,,
1991,893,,281,79,47,59,49,49,29,46,18,24,19,45,9,23,16,15,15,16,8,21,7,7,11,,
1992,941,,276,86,60,59,53,54,29,40,32,39,24,46,10,17,20,12,9,8,20,16,11,9,11,,
1993,956,,325,95,60,71,48,44,28,34,26,40,17,45,3,19,15,14,10,11,5,17,7,8,14,,
1994,889,,260,76,68,52,37,57,32,32,29,34,17,35,15,12,22,15,8,19,10,27,10,9,13,,
1995,964,,368,90,53,43,52,43,32,24,31,34,11,35,12,23,11,11,6,16,9,13,10,15,22,,
1996,884,,273,90,49,46,36,41,22,44,21,41,16,34,11,14,20,19,14,15,15,27,8,9,19,,
1997,812,,192,81,58,46,57,45,29,31,23,33,17,36,15,14,20,15,12,10,10,18,10,14,26,,
1998,810,,228,90,56,58,45,50,14,28,18,32,12,41,9,11,10,14,13,16,12,15,10,12,16,,
1999,904,,249,94,51,54,46,46,27,45,18,28,22,46,16,21,21,15,8,21,14,21,9,14,18,,
2000,879,,214,91,50,47,47,38,31,38,28,38,23,47,19,18,15,21,12,25,10,31,9,15,12,,
2001,837,,217,73,49,45,45,42,32,27,25,43,32,35,11,13,23,17,12,19,13,22,5,15,22,,
2002,821,,215,83,48,45,52,38,30,29,24,28,18,43,13,17,17,14,11,13,12,26,14,16,15,,
2003,676,,177,55,41,41,43,26,23,27,19,33,18,29,13,11,18,17,8,16,8,25,10,11,7,,
2004,760,,217,56,47,53,47,38,24,33,27,20,17,41,18,14,20,16,10,9,6,15,7,10,15,,
2005,727,,215,70,48,42,45,39,16,26,26,39,15,24,8,6,14,6,9,9,5,23,11,8,23,,
2006,687,,192,67,59,37,36,28,33,25,13,39,13,30,8,14,8,7,14,13,14,9,5,7,16,,
2007,655,,182,56,43,35,46,32,20,15,22,37,7,19,7,17,19,15,15,7,12,20,6,13,10,,
2008,647,,212,62,50,25,31,21,12,26,15,30,14,22,10,9,23,14,8,11,9,9,14,11,9,,
2009,643,,210,67,34,39,34,23,20,15,11,23,15,22,10,11,8,12,14,12,10,17,6,17,13,,
2010,634,,228,65,39,36,27,19,20,25,7,27,13,23,10,11,13,14,4,14,3,13,7,7,9,,
2011,577,,194,71,36,29,31,20,14,14,13,21,10,21,11,11,9,4,8,12,7,10,12,9,10,,
2012,534,,191,45,29,29,22,23,15,26,7,14,10,19,7,12,6,11,10,10,4,17,8,11,8,,
2013,539,1,224,44,29,18,13,19,15,16,26,16,11,10,13,5,8,7,5,7,9,7,7,8,21,,
2014,372,91,125,34,25,10,15,11,16,4,3,9,2,7,3,1,4,1,1,2,,4,2,2,,,
2015,413,4,210,50,33,18,10,15,11,6,14,8,4,9,3,4,2,2,1,2,2,2,2,1,,,
2016,411,53,168,32,29,21,15,9,17,9,6,9,7,10,5,5,2,2,4,2,1,1,,2,2,,
2017,394,106,126,33,20,22,13,11,6,11,5,5,6,6,3,6,3,3,1,2,,3,1,,2,,
2018,412,172,76,32,25,15,14,9,16,11,2,5,5,3,5,2,3,2,5,1,3,3,,1,2,,
2019,449,174,66,38,23,17,9,14,10,11,8,14,7,9,5,4,5,5,3,4,1,8,2,5,7,,
2020,331,118,43,33,14,13,13,12,4,9,5,6,6,8,5,6,5,6,5,2,3,4,6,0,5,,
2021 (p**),352,144,47,23,18,15,8,12,11,4,13,11,7,2,2,5,3,4,7,2,2,2,2,4,4,,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 1990-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
