,,,,,
,"Gráfico  No. 2.1.6
Principales causas de mortalidad masculina 
Lista corta de las principales causas de muerte Becker
Año 2021 (p**)",,,,
,Total de defunciones (t)1/,"60,008",,,INDICE
,Lista corta de las principales causas de muerte Becker2/,Absoluto,Relativo,,
,"COVID-19, virus identificado","10,212",17.02%,,
,35 Enfermedades isquémicas del corazón,"7,224",12.04%,,
,57 Accidentes de transporte terrestre,"2,717",4.53%,,
,26 Diabetes Mellitus,"2,634",4.39%,,
,42 Enfermedades cerebrovasculares,"2,625",4.37%,,
,46 Influenza y neumonía,"2,489",4.15%,,
,"COVID-19, virus no identificado","2,469",4.11%,,
,34 Enfermedades hipertensivas,"1,970",3.28%,,
,51 Cirrosis y otras enfermedades del hígado,"1,473",2.45%,,
,53 Enfermedades del sistema urinario,"1,470",2.45%,,
,65 Eventos de intención no determinada,"1,422",2.37%,,
,64 Agresiones (Homicidios),"1,205",2.01%,,
,20 Neoplasia maligna de la próstata,"1,152",1.92%,,
,9 Neoplasia maligna del estómago,986,1.64%,,
,47 Enfermedades crónicas de las vías respiratorias inferiores,898,1.50%,,
,55 Ciertas afecciones originadas en el período prenatal,837,1.39%,,
,48 Edema pulmonar y otras enfermedades respiratorias que afectan al intersticio,826,1.38%,,
,63 Lesiones autoinflingidas intencionalmente (Suicidio),703,1.17%,,
,"41 Insuficiencia cardíaca, complicaciones y enfermedades mal definidas",671,1.12%,,
,"24 Neoplasia maligna del tejido linfático, hematopoyético y afinies",660,1.10%,,
,6 Septicemia,622,1.04%,,
,25 Neoplasias benignas in situ y de comportamiento incierto,481,0.80%,,
,"10 Neoplasia maligna del colon, sigmoide, recto y ano",448,0.75%,,
,7 Enfermedad por virus de la inmunodeficiencia (VIH),443,0.74%,,
,"56 Malformaciones congénitas, deformidades y anomalías cromosómicas",414,0.69%,,
,2 Tuberculosis,390,0.65%,,
,11 Neoplasia maligna del hígado y de las vías biliares,386,0.64%,,
,"15 Neoplasia maligna de la tráquea, bronquios y pulmón",358,0.60%,,
,49 Insuficiencia respiratoria,353,0.59%,,
,61 Accidentes que obstruyen la respiración,282,0.47%,,
,60 Ahogamiento y sumersión accidentales,275,0.46%,,
,29 Demencia y enfermedad de Alzheimer,274,0.46%,,
,27 Desnutrición y anemias nutricionales,268,0.45%,,
,13 Neoplasia maligna de páncreas,250,0.42%,,
,58 Caidas accidentales,246,0.41%,,
,"50 Apendicitis, hernia y obstrucción intestinal",236,0.39%,,
,23 Neoplasia maligna del encéfalo,187,0.31%,,
,32 Epilepsia y estado de mal epiléptico,181,0.30%,,
,40 Arritmias cardíacas,179,0.30%,,
,36 Enfermedad cardiopulmonar y enfermedad de la circulación pulmonar,171,0.28%,,
,62 Envenenamiento accidental,153,0.25%,,
,52 Enfermedades del sistema osteomuscular y tejido conjuntivo,150,0.25%,,
,"28 Trastornos de los líquidos, electrolitos, y del equilibrio ácido básico",144,0.24%,,
,31 Enfermedad de Parkinson,143,0.24%,,
,16 Melanoma y otra neoplasia maligna de la piel,129,0.21%,,
,44 Aneurisma y disección aórticos,125,0.21%,,
,37 Trastornos valvulares no reumáticos,120,0.20%,,
,12 Neoplasia maligna de la vesícula biliar y de otras,105,0.17%,,
,"21 Neoplasia maligna del riñón, excepto pelvis renal",102,0.17%,,
,38 Cardiomiopatía,93,0.15%,,
,8 Neoplasia maligna del esófago,88,0.15%,,
,22 Neoplasia maligna de la vejiga urinaria,86,0.14%,,
,30 Trastornos mentales y del comportamiento por uso de sustancias psicoactivas,78,0.13%,,
,1 Enfermedades infecciosas intestinales,54,0.09%,,
,5 Meningitis,47,0.08%,,
,14 Neoplasia maligna de laringe,43,0.07%,,
,45 Enfermedades respiratorias agudas excepto influenza y neumonía,36,0.06%,,
,39 Paro cardíaco,34,0.06%,,
,33 Enfermedades cardíacas reumáticas crónicas,22,0.04%,,
,3 Enfermedades transmitidas por vectores y rabia,21,0.03%,,
,4 Enfermedades inmunoprevenibles,10,0.02%,,
,43 Aterosclerosis,10,0.02%,,
,59 Disparo de arma de fuego no intencional,4,0.01%,,
,17 Neoplasia maligna de la mama,1,0.00%,,
,18 Neoplasia maligna del útero,1,0.00%,,
,88 Resto de causas,"4,936",8.23%,,
,99 Causas mal definidas,"2,186",3.64%,,
,,,,,
,,,,,
,,,,,
,,,,,
,"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,
,"2/ Lista corta de las principales causas de muerte Becker, recomendada por OMS",,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,
,Fuente: Registro Estadístico de Defunciones Generales 2021,,,,
