,,,,,,,,,,,
, Porcentaje de mujeres que han vivido violencia física  en el ámbito familiar,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,11.6%,0.004,0.108,0.124,0.035,,,,
,,Urbana ,10.7%,0.005,0.097,0.117,0.046,,,,
,,Rural ,13.8%,0.007,0.124,0.153,0.053,,,,
,,Sierra,14.4%,0.007,0.131,0.157,0.046,,,,
,,Costa ,8.3%,0.005,0.072,0.093,0.065,,,,
,,Amazonía,18.8%,0.010,0.169,0.207,0.051,,,,
,,Insular,8.8%,0.014,0.060,0.116,0.161,,,,
,,Azuay,13.9%,0.016,0.107,0.171,0.118,,,,
,,Bolívar,7.9%,0.015,0.050,0.107,0.185,,,,
,,Cañar,18.0%,0.023,0.135,0.224,0.126,,,,
,,Carchi,9.9%,0.014,0.072,0.126,0.139,,,,
,,Cotopaxi,19.9%,0.023,0.153,0.244,0.117,,,,
,,Chimborazo,12.0%,0.020,0.081,0.158,0.165,,,,
,,El Oro,9.9%,0.012,0.074,0.123,0.126,,,,
,,Esmeraldas,11.0%,0.013,0.084,0.136,0.120,,,,
,,Guayas,9.1%,0.009,0.073,0.109,0.101,,,,
,,Imbabura,22.9%,0.021,0.187,0.270,0.093,,,,
,,Loja,9.9%,0.014,0.071,0.127,0.145,,,,
,,Los Rios,4.1%,0.008,0.026,0.057,0.192,,,,
,,Manabí,6.8%,0.011,0.047,0.089,0.157,,,,
,,Morona Santiago,19.2%,0.024,0.145,0.238,0.124,,,,
,,Napo,34.5%,0.036,0.275,0.415,0.103,,,,
,,Pastaza,34.6%,0.029,0.289,0.403,0.084,,,,
,,Pichincha,13.5%,0.013,0.110,0.161,0.096,,,,
,,Tungurahua,17.0%,0.019,0.133,0.208,0.113,,,,
,,Zamora Chinchipe,13.4%,0.018,0.100,0.168,0.131,,,,
,,Galápagos,8.8%,0.014,0.060,0.116,0.161,,,,
,,Sucumbíos,11.8%,0.017,0.085,0.152,0.145,,,,
,,Orellana,6.8%,0.013,0.043,0.093,0.188,,,,
,,Santo Domingo de los Tsáchilas,13.3%,0.021,0.092,0.175,0.158,,,,
,,Santa Elena,7.8%,0.008,0.062,0.094,0.106,,,,
,,,,,,,,,,,
