,,,,,,,
,Porcentaje de mujeres  que han vivido violencia psicológica  en el ámbito social,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,17.0%,0.005,0.160,0.181,0.032
,,Urbana ,17.8%,0.007,0.165,0.192,0.038
,,Rural ,15.0%,0.009,0.133,0.167,0.058
,,Sierra,19.7%,0.007,0.182,0.211,0.038
,,Costa ,14.8%,0.009,0.131,0.165,0.058
,,Amazonía,14.4%,0.009,0.127,0.161,0.059
,,Insular,6.8%,0.015,0.040,0.097,0.215
,,Azuay,21.8%,0.017,0.184,0.252,0.079
,,Bolívar,6.5%,0.010,0.045,0.085,0.158
,,Cañar,19.3%,0.023,0.149,0.237,0.117
,,Carchi,11.2%,0.015,0.083,0.141,0.133
,,Cotopaxi,24.5%,0.030,0.186,0.304,0.122
,,Chimborazo,13.6%,0.023,0.091,0.180,0.167
,,El Oro,18.0%,0.016,0.147,0.212,0.092
,,Esmeraldas,15.3%,0.015,0.124,0.182,0.097
,,Guayas,17.6%,0.015,0.147,0.206,0.084
,,Imbabura,17.4%,0.018,0.139,0.208,0.101
,,Loja,18.6%,0.020,0.146,0.226,0.109
,,Los Rios,10.7%,0.019,0.071,0.143,0.173
,,Manabí,8.6%,0.014,0.058,0.114,0.165
,,Morona Santiago,15.1%,0.021,0.111,0.192,0.137
,,Napo,10.0%,0.016,0.069,0.132,0.159
,,Pastaza,15.3%,0.020,0.115,0.192,0.128
,,Pichincha,22.3%,0.015,0.194,0.253,0.068
,,Tungurahua,14.6%,0.016,0.115,0.177,0.109
,,Zamora Chinchipe,20.8%,0.020,0.168,0.248,0.098
,,Galápagos,6.8%,0.015,0.040,0.097,0.215
,,Sucumbíos,15.7%,0.023,0.111,0.202,0.149
,,Orellana,9.8%,0.014,0.072,0.125,0.138
,,Santo Domingo de los Tsáchilas,17.8%,0.021,0.137,0.218,0.117
,,Santa Elena,9.8%,0.010,0.079,0.117,0.100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
