,,,,,,,
,Porcentaje de mujeres  que han vivido violencia psicológica ,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,56.9%,0.007,0.555,0.583,0.013
,,Urbana ,56.7%,0.009,0.550,0.585,0.016
,,Rural ,57.4%,0.012,0.550,0.597,0.021
,,Sierra,61.2%,0.010,0.593,0.631,0.016
,,Costa ,52.2%,0.012,0.499,0.545,0.022
,,Amazonía,64.6%,0.011,0.624,0.668,0.017
,,Insular,48.4%,0.028,0.429,0.539,0.058
,,Azuay,70.0%,0.022,0.656,0.743,0.032
,,Bolívar,44.0%,0.027,0.387,0.494,0.062
,,Cañar,69.3%,0.026,0.643,0.744,0.037
,,Carchi,57.5%,0.026,0.523,0.626,0.046
,,Cotopaxi,61.1%,0.037,0.540,0.683,0.060
,,Chimborazo,46.9%,0.031,0.409,0.529,0.065
,,El Oro,61.3%,0.022,0.571,0.656,0.035
,,Esmeraldas,61.7%,0.022,0.575,0.660,0.035
,,Guayas,54.6%,0.019,0.508,0.583,0.035
,,Imbabura,64.3%,0.024,0.596,0.691,0.037
,,Loja,60.0%,0.022,0.556,0.643,0.037
,,Los Rios,43.4%,0.026,0.382,0.485,0.060
,,Manabí,43.9%,0.027,0.385,0.493,0.063
,,Morona Santiago,73.0%,0.028,0.675,0.785,0.038
,,Napo,70.1%,0.025,0.652,0.749,0.035
,,Pastaza,67.2%,0.027,0.619,0.726,0.041
,,Pichincha,61.9%,0.019,0.582,0.657,0.031
,,Tungurahua,62.6%,0.025,0.578,0.675,0.039
,,Zamora Chinchipe,66.1%,0.029,0.603,0.718,0.044
,,Galápagos,48.4%,0.028,0.429,0.539,0.058
,,Sucumbíos,60.7%,0.027,0.555,0.659,0.044
,,Orellana,51.9%,0.021,0.477,0.560,0.041
,,Santo Domingo de los Tsáchilas,55.2%,0.027,0.498,0.605,0.050
,,Santa Elena,46.5%,0.019,0.428,0.501,0.040
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
