,,,,,,,,,,,
, Porcentaje de mujeres que han vivido violencia física  en el ámbito laboral,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,1.2%,0.002,0.008,0.017,0.173,,,,
,,Urbana ,1.1%,0.003,0.005,0.016,0.250,,,,
,,Rural ,1.7%,0.003,0.011,0.023,0.177,,,,
,,Sierra,2.0%,0.004,0.012,0.027,0.202,,,,
,,Costa ,0.6%,0.002,0.001,0.010,0.406,,,,
,,Amazonía,1.8%,0.005,0.009,0.027,0.250,,,,
,,Insular,0.0%,0.000,0.000,0.000,NA,,,,
,,Azuay,0.6%,0.004,-0.002,0.014,0.699,,,,
,,Bolívar,2.1%,0.014,-0.007,0.049,0.675,,,,
,,Cañar,3.1%,0.013,0.006,0.056,0.413,,,,
,,Carchi,0.5%,0.004,-0.002,0.013,0.716,,,,
,,Cotopaxi,3.3%,0.016,0.003,0.064,0.470,,,,
,,Chimborazo,1.9%,0.013,-0.007,0.045,0.697,,,,
,,El Oro,1.2%,0.006,0.000,0.024,0.521,,,,
,,Esmeraldas,2.9%,0.010,0.009,0.049,0.356,,,,
,,Guayas,0.4%,0.004,-0.004,0.012,0.996,,,,
,,Imbabura,1.1%,0.005,0.001,0.020,0.454,,,,
,,Loja,1.2%,0.005,0.002,0.023,0.430,,,,
,,Los Rios,0.0%,0.000,0.000,0.000,NA,,,,
,,Manabí,0.2%,0.002,-0.002,0.005,1.004,,,,
,,Morona Santiago,0.8%,0.005,-0.003,0.019,0.698,,,,
,,Napo,0.9%,0.009,-0.008,0.026,0.988,,,,
,,Pastaza,2.8%,0.014,0.000,0.056,0.505,,,,
,,Pichincha,2.5%,0.008,0.009,0.042,0.328,,,,
,,Tungurahua,2.8%,0.011,0.006,0.050,0.395,,,,
,,Zamora Chinchipe,2.0%,0.010,-0.001,0.040,0.528,,,,
,,Galápagos,0.0%,0.000,0.000,0.000,NA,,,,
,,Sucumbíos,2.3%,0.011,0.002,0.044,0.476,,,,
,,Orellana,2.3%,0.014,-0.005,0.051,0.633,,,,
,,Santo Domingo de los Tsáchilas,0.0%,0.000,0.000,0.000,NA,,,,
,,Santa Elena,0.3%,0.002,-0.001,0.007,0.610,,,,
,,,,,,,,,,,
