,,,,,,,,,,,
,Porcentaje de mujeres que han vivido algún tipo de violencia de género en el ámbito educativo,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,19.2%,0.006,0.180,0.204,0.032,,,,
,,Urbana ,18.4%,0.007,0.170,0.198,0.039,,,,
,,Rural ,21.2%,0.012,0.189,0.235,0.055,,,,
,,Sierra,23.5%,0.009,0.216,0.253,0.040,,,,
,,Costa ,15.3%,0.009,0.136,0.169,0.056,,,,
,,Amazonía,20.8%,0.011,0.187,0.228,0.051,,,,
,,Insular,12.5%,0.020,0.086,0.164,0.160,,,,
,,Azuay,27.7%,0.023,0.233,0.321,0.081,,,,
,,Bolívar,14.2%,0.018,0.108,0.176,0.123,,,,
,,Cañar,23.4%,0.024,0.187,0.281,0.102,,,,
,,Carchi,14.1%,0.020,0.102,0.180,0.141,,,,
,,Cotopaxi,30.4%,0.037,0.232,0.376,0.121,,,,
,,Chimborazo,19.9%,0.023,0.155,0.244,0.114,,,,
,,El Oro,16.8%,0.021,0.127,0.210,0.125,,,,
,,Esmeraldas,23.1%,0.020,0.192,0.270,0.086,,,,
,,Guayas,17.5%,0.014,0.148,0.202,0.080,,,,
,,Imbabura,22.4%,0.021,0.183,0.265,0.093,,,,
,,Loja,22.8%,0.023,0.184,0.273,0.100,,,,
,,Los Rios,8.7%,0.014,0.060,0.114,0.158,,,,
,,Manabí,10.0%,0.020,0.060,0.140,0.203,,,,
,,Morona Santiago,20.6%,0.027,0.153,0.259,0.131,,,,
,,Napo,17.3%,0.019,0.136,0.210,0.110,,,,
,,Pastaza,25.4%,0.026,0.203,0.305,0.102,,,,
,,Pichincha,23.7%,0.019,0.200,0.275,0.081,,,,
,,Tungurahua,24.1%,0.020,0.201,0.281,0.085,,,,
,,Zamora Chinchipe,21.5%,0.027,0.162,0.267,0.126,,,,
,,Galápagos,12.5%,0.020,0.086,0.164,0.160,,,,
,,Sucumbíos,24.3%,0.027,0.190,0.295,0.110,,,,
,,Orellana,15.0%,0.020,0.112,0.189,0.130,,,,
,,Santo Domingo de los Tsáchilas,17.6%,0.023,0.131,0.221,0.131,,,,
,,Santa Elena,10.0%,0.010,0.079,0.120,0.104,,,,
,,,,,,,,,,,
