,,,,,,,,,,,
,Porcentaje de mujeres que han vivido algún tipo de violencia de género en el ámbito laboral,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,20.1%,0.008,0.185,0.217,0.040,,,,
,,Urbana ,21.7%,0.010,0.197,0.236,0.047,,,,
,,Rural ,15.5%,0.012,0.132,0.178,0.075,,,,
,,Sierra,23.9%,0.012,0.215,0.263,0.051,,,,
,,Costa ,16.9%,0.012,0.146,0.192,0.069,,,,
,,Amazonía,20.0%,0.014,0.172,0.228,0.071,,,,
,,Insular,15.9%,0.030,0.100,0.219,0.191,,,,
,,Azuay,25.3%,0.029,0.196,0.311,0.116,,,,
,,Bolívar,11.5%,0.027,0.061,0.168,0.238,,,,
,,Cañar,25.4%,0.041,0.174,0.334,0.161,,,,
,,Carchi,17.3%,0.029,0.116,0.229,0.167,,,,
,,Cotopaxi,15.3%,0.030,0.094,0.212,0.196,,,,
,,Chimborazo,10.7%,0.027,0.055,0.159,0.249,,,,
,,El Oro,20.5%,0.032,0.143,0.267,0.154,,,,
,,Esmeraldas,19.9%,0.026,0.149,0.250,0.128,,,,
,,Guayas,20.4%,0.020,0.165,0.244,0.100,,,,
,,Imbabura,20.3%,0.030,0.144,0.262,0.149,,,,
,,Loja,24.0%,0.035,0.171,0.310,0.148,,,,
,,Los Rios,9.8%,0.016,0.066,0.129,0.164,,,,
,,Manabí,8.9%,0.018,0.053,0.125,0.205,,,,
,,Morona Santiago,17.6%,0.034,0.109,0.244,0.194,,,,
,,Napo,15.9%,0.031,0.098,0.220,0.196,,,,
,,Pastaza,26.6%,0.034,0.199,0.333,0.129,,,,
,,Pichincha,28.2%,0.023,0.236,0.328,0.083,,,,
,,Tungurahua,23.1%,0.030,0.173,0.289,0.128,,,,
,,Zamora Chinchipe,17.9%,0.038,0.104,0.255,0.214,,,,
,,Galápagos,15.9%,0.030,0.100,0.219,0.191,,,,
,,Sucumbíos,23.0%,0.034,0.162,0.297,0.150,,,,
,,Orellana,18.1%,0.029,0.125,0.238,0.159,,,,
,,Santo Domingo de los Tsáchilas,23.3%,0.033,0.169,0.296,0.140,,,,
,,Santa Elena,13.7%,0.017,0.104,0.171,0.124,,,,
,,,,,,,,,,,
