,,,,,,,
,Porcentaje de mujeres  que han vivido  algún tipo de violencia de género por parte de su pareja actual o ex pareja ,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,42.8%,0.7%,41.5%,44.1%,0.016
,,Urbana ,42.6%,0.8%,40.9%,44.2%,0.020
,,Rural ,43.2%,1.0%,41.2%,45.2%,0.024
,,Sierra,45.4%,0.9%,43.6%,47.1%,0.019
,,Costa ,39.5%,1.1%,37.4%,41.5%,0.027
,,Amazonía,51.9%,1.2%,49.6%,54.2%,0.023
,,Insular,33.8%,2.6%,28.7%,38.8%,0.076
,,Azuay,52.7%,2.3%,48.1%,57.3%,0.044
,,Bolívar,33.1%,2.1%,29.0%,37.3%,0.064
,,Cañar,55.1%,2.7%,49.8%,60.4%,0.049
,,Carchi,44.6%,2.6%,39.5%,49.6%,0.058
,,Cotopaxi,43.1%,3.2%,36.7%,49.4%,0.075
,,Chimborazo,39.3%,3.0%,33.3%,45.2%,0.077
,,El Oro,46.2%,2.6%,41.2%,51.3%,0.056
,,Esmeraldas,48.6%,2.2%,44.2%,53.1%,0.046
,,Guayas,40.5%,1.7%,37.2%,43.9%,0.042
,,Imbabura,47.1%,2.1%,43.0%,51.3%,0.045
,,Loja,43.6%,2.3%,39.1%,48.1%,0.052
,,Los Rios,34.2%,2.2%,29.9%,38.6%,0.065
,,Manabí,33.5%,2.3%,29.0%,38.0%,0.069
,,Morona Santiago,60.6%,3.2%,54.4%,66.8%,0.052
,,Napo,58.8%,2.6%,53.8%,63.9%,0.043
,,Pastaza,51.9%,2.8%,46.3%,57.5%,0.055
,,Pichincha,44.5%,1.7%,41.1%,47.8%,0.039
,,Tungurahua,48.9%,2.4%,44.1%,53.7%,0.050
,,Zamora Chinchipe,51.5%,3.2%,45.3%,57.8%,0.062
,,Galápagos,33.8%,2.6%,28.7%,38.8%,0.076
,,Sucumbíos,46.8%,2.5%,41.9%,51.7%,0.053
,,Orellana,42.8%,2.2%,38.4%,47.2%,0.052
,,Santo Domingo de los Tsáchilas,41.8%,2.6%,36.7%,47.0%,0.063
,,Santa Elena,36.9%,1.6%,33.8%,40.0%,0.043
,,,,,,,
