,,,,,,,,,,,
,,,,,,,,,,,
,Porcentaje de mujeres  que han vivido  violencia sexual  por parte de su pareja actual o ex pareja ,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
","Error estándar 
","Límite inferior
","Límite superior 
","Coeficiente de variación
",,,,
,2019,Nacional ,8.3%,0.00,0.08,0.09,0.044,,,,
,,Urbana ,8.8%,0.00,0.08,0.10,0.053,,,,
,,Rural ,7.2%,0.01,0.06,0.08,0.073,,,,
,,Sierra,7.9%,0.004,0.070,0.087,0.057,,,,
,,Costa ,8.5%,0.006,0.074,0.097,0.071,,,,
,,Amazonía,10.9%,0.007,0.096,0.121,0.060,,,,
,,Insular,6.7%,0.011,0.046,0.088,0.158,,,,
,,Azuay,10.0%,0.015,0.070,0.130,0.153,,,,
,,Bolívar,7.0%,0.012,0.045,0.094,0.178,,,,
,,Cañar,8.6%,0.017,0.054,0.119,0.192,,,,
,,Carchi,4.0%,0.009,0.022,0.058,0.231,,,,
,,Cotopaxi,5.3%,0.010,0.034,0.073,0.186,,,,
,,Chimborazo,3.9%,0.010,0.019,0.058,0.256,,,,
,,El Oro,7.9%,0.013,0.053,0.105,0.168,,,,
,,Esmeraldas,7.8%,0.012,0.054,0.101,0.155,,,,
,,Guayas,10.4%,0.011,0.083,0.125,0.102,,,,
,,Imbabura,8.1%,0.011,0.060,0.103,0.134,,,,
,,Loja,8.4%,0.013,0.058,0.110,0.156,,,,
,,Los Rios,6.6%,0.011,0.044,0.087,0.166,,,,
,,Manabí,5.9%,0.009,0.041,0.078,0.159,,,,
,,Morona Santiago,10.2%,0.013,0.076,0.128,0.130,,,,
,,Napo,12.0%,0.021,0.079,0.160,0.174,,,,
,,Pastaza,10.1%,0.012,0.077,0.125,0.121,,,,
,,Pichincha,8.4%,0.009,0.067,0.102,0.103,,,,
,,Tungurahua,7.1%,0.010,0.052,0.090,0.137,,,,
,,Zamora Chinchipe,11.7%,0.017,0.084,0.150,0.143,,,,
,,Galápagos,6.7%,0.011,0.046,0.088,0.158,,,,
,,Sucumbíos,10.6%,0.014,0.078,0.134,0.134,,,,
,,Orellana,11.0%,0.018,0.075,0.145,0.161,,,,
,,Santo Domingo de los Tsáchilas,8.2%,0.013,0.057,0.107,0.158,,,,
,,Santa Elena,4.6%,0.006,0.034,0.058,0.132,,,,
,,,,,,,,,,,
,,,,,,,,,,,
