,,,,,,,,,,,
,Porcentaje de mujeres que han vivido algún tipo de violencia de género en el ámbio social,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,32.6%,0.007,0.312,0.340,0.022,,,,
,,Urbana ,35.9%,0.009,0.341,0.377,0.025,,,,
,,Rural ,24.3%,0.011,0.222,0.264,0.043,,,,
,,Sierra,35.5%,0.009,0.337,0.373,0.025,,,,
,,Costa ,30.5%,0.012,0.282,0.329,0.039,,,,
,,Amazonía,25.2%,0.010,0.232,0.272,0.041,,,,
,,Insular,17.3%,0.022,0.130,0.216,0.127,,,,
,,Azuay,40.2%,0.021,0.360,0.443,0.052,,,,
,,Bolívar,13.2%,0.015,0.102,0.162,0.115,,,,
,,Cañar,34.7%,0.027,0.295,0.399,0.076,,,,
,,Carchi,20.8%,0.021,0.167,0.250,0.102,,,,
,,Cotopaxi,30.8%,0.033,0.243,0.374,0.108,,,,
,,Chimborazo,16.8%,0.025,0.119,0.217,0.150,,,,
,,El Oro,36.3%,0.022,0.320,0.406,0.060,,,,
,,Esmeraldas,30.1%,0.020,0.262,0.341,0.067,,,,
,,Guayas,35.2%,0.020,0.313,0.391,0.057,,,,
,,Imbabura,33.9%,0.023,0.294,0.384,0.068,,,,
,,Loja,31.6%,0.025,0.267,0.365,0.080,,,,
,,Los Rios,21.7%,0.028,0.161,0.273,0.131,,,,
,,Manabí,21.1%,0.025,0.163,0.259,0.116,,,,
,,Morona Santiago,23.8%,0.023,0.193,0.284,0.097,,,,
,,Napo,29.2%,0.026,0.241,0.343,0.089,,,,
,,Pastaza,30.3%,0.026,0.251,0.354,0.087,,,,
,,Pichincha,41.2%,0.018,0.378,0.447,0.043,,,,
,,Tungurahua,29.2%,0.026,0.241,0.344,0.090,,,,
,,Zamora Chinchipe,31.0%,0.025,0.261,0.360,0.082,,,,
,,Galápagos,17.3%,0.022,0.130,0.216,0.127,,,,
,,Sucumbíos,23.9%,0.026,0.188,0.290,0.108,,,,
,,Orellana,16.9%,0.018,0.135,0.203,0.104,,,,
,,Santo Domingo de los Tsáchilas,42.7%,0.029,0.371,0.483,0.067,,,,
,,Santa Elena,24.8%,0.016,0.217,0.280,0.065,,,,
,,,,,,,,,,,
