,,,,,,,
,Porcentaje de mujeres  que han vivido violencia  económica y patrimonial en el ámbito familiar,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,3.1%,0.002,0.027,0.035,0.070
,,Urbana ,3.0%,0.003,0.025,0.035,0.088
,,Rural ,3.5%,0.004,0.027,0.043,0.112
,,Sierra,3.7%,0.003,0.031,0.042,0.082
,,Costa ,2.6%,0.003,0.019,0.032,0.132
,,Amazonía,3.4%,0.004,0.026,0.043,0.123
,,Insular,0.7%,0.004,0.000,0.014,0.515
,,Azuay,5.2%,0.009,0.034,0.070,0.177
,,Bolívar,2.2%,0.010,0.003,0.042,0.451
,,Cañar,4.5%,0.013,0.020,0.070,0.282
,,Carchi,2.2%,0.006,0.010,0.034,0.274
,,Cotopaxi,3.0%,0.011,0.009,0.051,0.360
,,Chimborazo,3.2%,0.012,0.008,0.056,0.386
,,El Oro,2.7%,0.007,0.012,0.042,0.277
,,Esmeraldas,3.2%,0.007,0.019,0.046,0.208
,,Guayas,3.6%,0.006,0.023,0.048,0.175
,,Imbabura,3.7%,0.008,0.023,0.052,0.202
,,Loja,2.4%,0.006,0.011,0.036,0.265
,,Los Rios,1.3%,0.004,0.004,0.021,0.355
,,Manabí,0.5%,0.003,0.000,0.011,0.486
,,Morona Santiago,3.2%,0.009,0.014,0.051,0.287
,,Napo,1.4%,0.004,0.005,0.023,0.320
,,Pastaza,3.7%,0.008,0.022,0.053,0.211
,,Pichincha,3.5%,0.006,0.024,0.046,0.158
,,Tungurahua,5.0%,0.008,0.035,0.064,0.153
,,Zamora Chinchipe,2.1%,0.006,0.008,0.033,0.306
,,Galápagos,0.7%,0.004,0.000,0.014,0.515
,,Sucumbíos,5.2%,0.013,0.027,0.076,0.242
,,Orellana,3.6%,0.010,0.017,0.056,0.273
,,Santo Domingo de los Tsáchilas,2.9%,0.010,0.010,0.048,0.341
,,Santa Elena,1.1%,0.003,0.005,0.017,0.282
,,,,,,,
