,,,,,,,
,Porcentaje de mujeres  que han vivido violencia psicológica  en el ámbito educativo,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,13.7%,0.005,0.127,0.147,0.038
,,Urbana ,12.9%,0.006,0.117,0.141,0.048
,,Rural ,15.8%,0.010,0.139,0.176,0.061
,,Sierra,17.4%,0.008,0.158,0.190,0.048
,,Costa ,10.2%,0.007,0.088,0.116,0.069
,,Amazonía,15.8%,0.010,0.139,0.177,0.061
,,Insular,10.3%,0.019,0.066,0.140,0.181
,,Azuay,22.2%,0.020,0.183,0.261,0.090
,,Bolívar,10.0%,0.015,0.070,0.129,0.150
,,Cañar,17.4%,0.023,0.129,0.218,0.131
,,Carchi,11.2%,0.018,0.077,0.146,0.158
,,Cotopaxi,24.7%,0.033,0.182,0.311,0.134
,,Chimborazo,16.1%,0.026,0.109,0.212,0.163
,,El Oro,11.7%,0.017,0.084,0.150,0.143
,,Esmeraldas,16.6%,0.018,0.132,0.201,0.105
,,Guayas,11.6%,0.012,0.093,0.140,0.103
,,Imbabura,12.8%,0.016,0.096,0.161,0.128
,,Loja,18.5%,0.022,0.141,0.228,0.119
,,Los Rios,5.4%,0.011,0.033,0.075,0.198
,,Manabí,6.3%,0.012,0.038,0.087,0.198
,,Morona Santiago,16.2%,0.027,0.110,0.214,0.164
,,Napo,12.2%,0.015,0.091,0.152,0.127
,,Pastaza,19.3%,0.020,0.154,0.233,0.104
,,Pichincha,17.4%,0.017,0.141,0.206,0.096
,,Tungurahua,16.6%,0.017,0.133,0.199,0.102
,,Zamora Chinchipe,15.3%,0.023,0.109,0.197,0.148
,,Galápagos,10.3%,0.019,0.066,0.140,0.181
,,Sucumbíos,18.6%,0.024,0.138,0.234,0.132
,,Orellana,12.2%,0.019,0.085,0.158,0.153
,,Santo Domingo de los Tsáchilas,11.9%,0.023,0.073,0.165,0.196
,,Santa Elena,7.3%,0.008,0.057,0.090,0.115
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
