,,,,,,,,,,,
, Porcentaje de mujeres que han vivido violencia física  en el ámbito social,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,6.0%,0.003,0.053,0.066,0.054,,,,
,,Urbana ,6.5%,0.004,0.057,0.073,0.063,,,,
,,Rural ,4.6%,0.004,0.037,0.054,0.094,,,,
,,Sierra,6.6%,0.004,0.058,0.075,0.068,,,,
,,Costa ,5.6%,0.005,0.046,0.065,0.089,,,,
,,Amazonía,3.7%,0.004,0.029,0.045,0.114,,,,
,,Insular,3.9%,0.009,0.022,0.056,0.224,,,,
,,Azuay,4.6%,0.008,0.030,0.061,0.172,,,,
,,Bolívar,1.4%,0.004,0.006,0.022,0.284,,,,
,,Cañar,4.7%,0.010,0.027,0.067,0.213,,,,
,,Carchi,1.5%,0.005,0.006,0.024,0.294,,,,
,,Cotopaxi,10.1%,0.018,0.065,0.137,0.180,,,,
,,Chimborazo,6.1%,0.014,0.034,0.088,0.223,,,,
,,El Oro,4.1%,0.010,0.022,0.060,0.237,,,,
,,Esmeraldas,4.4%,0.009,0.027,0.062,0.205,,,,
,,Guayas,7.4%,0.009,0.057,0.091,0.119,,,,
,,Imbabura,5.6%,0.009,0.038,0.073,0.164,,,,
,,Loja,3.0%,0.010,0.011,0.050,0.326,,,,
,,Los Rios,2.8%,0.007,0.014,0.043,0.252,,,,
,,Manabí,3.4%,0.008,0.018,0.051,0.245,,,,
,,Morona Santiago,3.8%,0.011,0.016,0.059,0.290,,,,
,,Napo,3.5%,0.011,0.013,0.058,0.322,,,,
,,Pastaza,5.1%,0.009,0.033,0.069,0.182,,,,
,,Pichincha,8.0%,0.009,0.062,0.098,0.117,,,,
,,Tungurahua,6.9%,0.012,0.045,0.093,0.178,,,,
,,Zamora Chinchipe,1.7%,0.006,0.005,0.030,0.369,,,,
,,Galápagos,3.9%,0.009,0.022,0.056,0.224,,,,
,,Sucumbíos,4.7%,0.010,0.027,0.068,0.222,,,,
,,Orellana,2.5%,0.007,0.010,0.039,0.299,,,,
,,Santo Domingo de los Tsáchilas,8.5%,0.013,0.059,0.111,0.157,,,,
,,Santa Elena,3.4%,0.005,0.024,0.045,0.154,,,,
,,,,,,,,,,,
