;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Confianza en la  Policía Nacional;;;;;;;;;
;;;;;;;;;;
;Periodo ;Desagregación;Estimación;Error estándar ;Límite inferior ;Límite superior ;Coeficiente de variación;Numerador muestral;Denominador muestral ;
;2011;Nacional ;5,61;0,034;5,55;5,68;0,60;197.162;35.010;
;;Urbana ;5,63;0,044;5,54;5,71;0,79;112.395;19.742;
;;Rural ;5,58;0,043;5,50;5,66;0,76;84.767;15.268;
;2012;Nacional ;6,05;0,033;5,98;6,11;0,55;196.933;32.125;
;;Urbana ;6,02;0,042;5,94;6,10;0,70;113.906;18.692;
;;Rural ;6,11;0,045;6,03;6,20;0,74;83.027;13.433;
;2013;Nacional ;6,39;0,031;6,33;6,46;0,49;238.768;37.336;
;;Urbana ;6,40;0,041;6,32;6,48;0,63;133.643;20.834;
;;Rural ;6,39;0,043;6,30;6,47;0,67;105.125;16.502;
;2014;Nacional ;6,44;0,028;6,39;6,50;0,44;344.752;53.231;
;;Urbana ;6,46;0,036;6,39;6,53;0,56;210.704;32.535;
;;Rural ;6,40;0,043;6,32;6,49;0,67;134.048;20.696;
;2015;Nacional ;6,48;0,025;6,43;6,53;0,38;336.586;52.314;
;;Urbana ;6,50;0,032;6,44;6,56;0,49;207.659;32.333;
;;Rural ;6,44;0,037;6,37;6,52;0,57;128.927;19.981;
;2016;Nacional ;6,51;0,032;6,45;6,58;0,49;171.141;26.390;
;;Urbana ;6,48;0,035;6,41;6,55;0,55;113.326;17.600;
;;Rural ;6,59;0,070;6,46;6,73;1,06;57.815;8.790;
;2017;Nacional ;6,50;0,034;6,43;6,56;0,53;179.890;27.415;
;;Urbana ;6,47;0,044;6,39;6,56;0,68;118.433;18.183;
;;Rural ;6,55;0,050;6,45;6,65;0,77;61.457;9.232;
;2018;Nacional ;6,17;0,044;6,08;6,25;0,71;59.952;9.536;
;;Urbana ;6,13;0,053;6,03;6,23;0,86;37.697;6.021;
;;Rural ;6,28;0,075;6,13;6,43;1,19;22.255;3.515;
;2019;Nacional ;5,66;0,032;5,60;5,73;0,57;64.126;11.267;
;;Urbana ;5,60;0,040;5,52;5,67;0,71;39.442;7.007;
;;Rural ;5,82;0,056;5,71;5,93;0,96;24.684;4.260;
;2020;Nacional ;6,02;0,046;5,93;6,11;0,76;89.788;14.702;
;;Urbana ;5,94;0,062;5,82;6,07;1,04;35.093;5.840;
;;Rural ;6,19;0,050;6,09;6,28;0,82;54.695;8.862;
