;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Porcentaje de hogares con acceso a internet ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral ;;;;;;;
;2008;Nacional;7,04;0,005;6,09;8,00;6,93;864;19.394;;;;;;;
;;Urbana;9,93;0,007;8,54;11,32;7,14;805;10.950;;;;;;;
;;Rural;0,90;0,002;0,55;1,24;19,58;59;8.444;;;;;;;
;2009;Nacional;7,65;0,005;6,68;8,63;6,49;957;19.437;;;;;;;
;;Urbana;10,96;0,007;9,55;12,36;6,54;895;10.923;;;;;;;
;;Rural;0,67;0,001;0,46;0,88;15,91;62;8.514;;;;;;;
;2010;Nacional;11,75;0,006;10,49;13,02;5,47;1.604;20.677;;;;;;;
;;Urbana;16,66;0,009;14,85;18,46;5,52;1.499;11.477;;;;;;;
;;Rural;1,30;0,002;0,88;1,72;16,41;105;9.200;;;;;;;
;2011;Nacional;16,86;0,007;15,53;18,19;4,02;2.678;18.776;;;;;;;
;;Urbana;23,65;0,010;21,68;25,62;4,25;2.399;10.692;;;;;;;
;;Rural;3,54;0,003;2,91;4,16;9,01;279;8.084;;;;;;;
;2012;Nacional;22,49;0,007;21,09;23,90;3,19;3.554;19.840;;;;;;;
;;Urbana;31,37;0,010;29,33;33,42;3,32;3.171;11.146;;;;;;;
;;Rural;4,75;0,004;4,00;5,51;8,11;383;8.694;;;;;;;
;2013;Nacional;28,27;0,007;26,85;29,69;2,56;4.780;21.303;;;;;;;
;;Urbana;37,03;0,010;35,02;39,04;2,77;4.085;11.807;;;;;;;
;;Rural;9,14;0,006;7,88;10,40;7,02;695;9.496;;;;;;;
;2014;Nacional;32,44;0,006;31,25;33,62;1,86;8.897;30.365;;;;;;;
;;Urbana;40,39;0,008;38,86;41,92;1,93;7.655;18.519;;;;;;;
;;Rural;14,57;0,009;12,88;16,25;5,89;1.242;11.846;;;;;;;
;2015;Nacional;32,80;0,005;31,75;33,85;1,63;9.102;30.033;;;;;;;
;;Urbana;40,99;0,007;39,63;42,35;1,69;7.670;18.517;;;;;;;
;;Rural;13,73;0,007;12,44;15,01;4,79;1.432;11.516;;;;;;;
;2016;Nacional;36,03;0,006;34,84;37,22;1,69;10.207;30.338;;;;;;;
;;Urbana;44,60;0,007;43,13;46,06;1,68;8.591;18.785;;;;;;;
;;Rural;16,41;0,009;14,57;18,24;5,69;1.616;11.553;;;;;;;
;2017;Nacional;37,20;0,007;35,91;38,50;1,78;10.783;30.023;;;;;;;
;;Urbana;46,08;0,007;44,62;47,53;1,61;8.863;18.613;;;;;;;
;;Rural;16,62;0,011;14,47;18,78;6,62;1.920;11.410;;;;;;;
;2018;Nacional;37,17;0,005;36,13;38,22;1,43;8.105;25.677;;;;;;;
;;Urbana;46,56;0,007;45,23;47,89;1,45;6.954;15.567;;;;;;;
;;Rural;16,07;0,008;14,54;17,61;4,88;1.151;10.110;;;;;;;
;2019;Nacional;45,54;0,006;44,37;46,71;1,31;4.950;11.528;;;;;;;
;;Urbana;56,11;0,008;54,62;57,59;1,35;3.961;7.130;;;;;;;
;;Rural;21,64;0,009;19,94;23,33;3,99;989;4.398;;;;;;;
;2020;Nacional;53,21;0,008;51,58;54,84;1,56;2.601;5.832;;;;;;;
;;Urbana;61,70;0,011;59,48;63,92;1,83;1.371;2.253;;;;;;;
;;Rural;34,69;0,009;32,88;36,50;2,66;1.230;3.579;;;;;;;
