;;;;;;;;;
;Confianza en las Fuerzas Armadas  ;;;;;;;;
;;;;;;;;;
;Periodo ;Desagregación;Estimación;Error estándar ;Límite inferior ;Límite superior ;Coeficiente de variación;Numerador muestral;Denominador muestral 
;2011;Nacional ;6,15;0,033;6,09;6,22;0,54;214.116;34.639
;;Urbana ;6,18;0,043;6,10;6,27;0,70;122.917;19.633
;;Rural ;6,09;0,044;6,00;6,18;0,73;91.199;15.006
;2012;Nacional ;6,68;0,034;6,61;6,74;0,52;213.276;31.401
;;Urbana ;6,64;0,044;6,56;6,73;0,66;124.919;18.439
;;Rural ;6,77;0,046;6,68;6,86;0,68;88.357;12.962
;2013;Nacional ;6,93;0,031;6,87;7,00;0,45;253.296;36.724
;;Urbana ;6,99;0,041;6,91;7,07;0,59;144.570;20.651
;;Rural ;6,80;0,042;6,72;6,89;0,62;108.726;16.073
;2014;Nacional ;6,85;0,029;6,80;6,91;0,42;362.789;52.458
;;Urbana ;6,89;0,038;6,81;6,96;0,55;223.440;32.317
;;Rural ;6,78;0,039;6,70;6,85;0,58;139.349;20.141
;2015;Nacional ;6,83;0,025;6,78;6,88;0,37;348.216;51.460
;;Urbana ;6,85;0,032;6,79;6,92;0,47;216.348;31.975
;;Rural ;6,78;0,039;6,71;6,86;0,57;131.868;19.485
;2016;Nacional ;6,94;0,030;6,88;7,00;0,44;179.802;26.159
;;Urbana ;6,92;0,034;6,85;6,98;0,48;119.842;17.497
;;Rural ;6,99;0,065;6,86;7,12;0,93;59.960;8.662
;2017;Nacional ;6,89;0,036;6,82;6,96;0,52;188.826;27.308
;;Urbana ;6,87;0,045;6,78;6,96;0,66;124.421;18.105
;;Rural ;6,92;0,056;6,81;7,03;0,82;64.405;9.203
;2018;Nacional ;6,42;0,046;6,33;6,51;0,72;58.702;8.985
;;Urbana ;6,38;0,055;6,27;6,48;0,87;36.938;5.664
;;Rural ;6,55;0,081;6,39;6,71;1,24;21.764;3.321
;2019;Nacional ;6,08;0,031;6,02;6,14;0,51;67.397;11.044
;;Urbana ;6,09;0,039;6,01;6,16;0,63;42.394;6.925
;;Rural ;6,08;0,052;5,98;6,18;0,85;25.003;4.119
;2020;Nacional ;6,40;0,044;6,32;6,49;0,69;93.918;14.469
;;Urbana ;6,34;0,059;6,23;6,46;0,93;37.234;5.799
;;Rural ;6,54;0,050;6,44;6,64;0,77;56.684;8.670
