;;;;;;;;;
;Confianza en la Fiscalía General del Estado;;;;;;;;
;;;;;;;;;
;Periodo ;Desagregación;Estimación;Error estándar ;Límite inferior ;Límite superior ;Coeficiente de variación;Numerador muestral;Denominador muestral 
;2015;Nacional ;6,12;0,029;6,06;6,18;0,48;274.829;44.884
;;Urbana ;6,14;0,036;6,07;6,21;0,59;181.841;29.636
;;Rural ;6,07;0,044;5,99;6,16;0,73;92.988;15.248
;2016;Nacional ;6,04;0,036;5,97;6,11;0,60;140.145;23.287
;;Urbana ;6,00;0,038;5,93;6,08;0,63;97.817;16.370
;;Rural ;6,15;0,086;5,98;6,32;1,40;42.328;6.917
;2017;Nacional ;6,00;0,033;5,93;6,06;0,55;153.799;25.496
;;Urbana ;5,95;0,042;5,86;6,03;0,71;103.592;17.388
;;Rural ;6,14;0,041;6,06;6,22;0,67;50.207;8.108
;2018;Nacional ;5,76;0,047;5,67;5,85;0,81;53.273;9.076
;;Urbana ;5,69;0,057;5,57;5,80;1,00;33.554;5.771
;;Rural ;5,97;0,076;5,82;6,12;1,28;19.719;3.305
;2019;Nacional ;5,27;0,031;5,21;5,33;0,58;55.252;10.441
;;Urbana ;5,23;0,038;5,16;5,31;0,72;35.252;6.698
;;Rural ;5,35;0,050;5,25;5,45;0,94;20.000;3.743
;2020;Nacional ;5,22;0,050;5,12;5,31;0,95;74.039;13.808
;;Urbana ;5,09;0,067;4,96;5,22;1,31;29.468;5.705
;;Rural ;5,52;0,053;5,41;5,62;0,96;44.571;8.103
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
