;;;;;;;;;
;Porcentaje de hogares con al menos un computador;;;;;;;;
;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral 
;2010;Nacional ;26,97;0,007;25,55;28,38;2,67;4.557;20.677
;;Urbana ;35,88;0,010;33,93;37,82;2,76;3.862;11.477
;;Rural ;7,97;0,005;7,03;8,91;6,01;695;9.200
;2011;Nacional ;28,77;0,008;27,19;30,35;2,80;4.927;18.776
;;Urbana ;38,55;0,012;36,24;40,87;3,06;4.171;10.692
;;Rural ;9,57;0,005;8,49;10,64;5,72;756;8.084
;2012;Nacional ;32,22;0,008;30,69;33,74;2,41;5.497;19.840
;;Urbana ;42,85;0,011;40,70;45,01;2,56;4.590;11.146
;;Rural ;10,97;0,006;9,86;12,07;5,13;907;8.694
;2013;Nacional ;35,70;0,007;34,30;37,11;2,01;6.416;21.303
;;Urbana ;44,93;0,010;42,98;46,88;2,21;5.195;11.807
;;Rural ;15,57;0,008;14,02;17,12;5,07;1.221;9.496
;2014;Nacional ;37,50;0,006;36,29;38,71;1,65;11.160;30.365
;;Urbana ;45,14;0,008;43,64;46,64;1,70;9.085;18.519
;;Rural ;20,35;0,010;18,37;22,33;4,96;2.075;11.846
;2015;Nacional ;40,84;0,006;39,76;41,93;1,36;11.712;30.033
;;Urbana ;49,75;0,007;48,40;51,11;1,39;9.446;18.517
;;Rural ;20,11;0,008;18,50;21,71;4,07;2.266;11.516
;2016;Nacional ;42,35;0,006;41,13;43,57;1,47;12.273;30.338
;;Urbana ;51,41;0,008;49,93;52,89;1,47;9.938;18.785
;;Rural ;21,61;0,009;19,76;23,46;4,38;2.335;11.553
;2017;Nacional ;40,73;0,007;39,42;42,04;1,64;11.995;30.023
;;Urbana ;49,49;0,007;48,03;50,95;1,50;9.598;18.613
;;Rural ;20,41;0,012;18,12;22,70;5,72;2.397;11.410
;2018;Nacional ;37,43;0,005;36,37;38,50;1,45;8.472;25.677
;;Urbana ;43,74;0,007;42,45;45,03;1,51;6.505;15.567
;;Rural ;23,27;0,010;21,37;25,16;4,16;1.967;10.110
;2019;Nacional ;40,58;0,005;39,51;41,64;1,34;4.376;11.528
;;Urbana ;50,34;0,007;48,96;51,72;1,39;3.538;7.130
;;Rural ;18,48;0,007;17,15;19,82;3,68;838;4.398
;2020;Nacional ;43,92;0,008;42,27;45,58;1,92;2.027;5.832
;;Urbana ;53,39;0,012;51,10;55,68;2,19;1.177;2.253
;;Rural ;23,28;0,007;21,83;24,73;3,17;850;3.579
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
