;;;;;;;;;
;Años promedio de escolaridad;;;;;;;;
;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral 
;2007;Nacional ;9,13;0,087;8,96;9,30;0,96;327.695;38.724
;;Urbana ;10,61;0,116;10,38;10,84;1,10;228.360;21.889
;;Rural ;5,92;0,078;5,76;6,07;1,31;99.335;16.835
;2008;Nacional ;9,14;0,084;8,98;9,30;0,91;344.007;40.411
;;Urbana ;10,58;0,112;10,36;10,80;1,06;240.009;23.093
;;Rural ;6,02;0,078;5,87;6,18;1,30;103.998;17.318
;2009;Nacional ;9,17;0,091;8,99;9,35;0,99;350.788;41.498
;;Urbana ;10,65;0,117;10,42;10,88;1,10;241.170;23.410
;;Rural ;6,00;0,070;5,87;6,14;1,17;109.618;18.088
;2010;Nacional ;9,29;0,089;9,12;9,47;0,95;379.593;44.455
;;Urbana ;10,79;0,111;10,57;11,00;1,03;259.089;24.850
;;Rural ;6,07;0,077;5,92;6,22;1,28;120.504;19.605
;2011;Nacional ;9,35;0,086;9,19;9,52;0,92;342.118;38.752
;;Urbana ;10,92;0,113;10,70;11,14;1,03;240.341;22.337
;;Rural ;6,12;0,079;5,97;6,28;1,29;101.777;16.415
;2012;Nacional ;9,52;0,090;9,35;9,70;0,95;369.304;41.679
;;Urbana ;11,10;0,120;10,86;11,33;1,08;256.830;23.782
;;Rural ;6,23;0,078;6,08;6,38;1,24;112.474;17.897
;2013;Nacional ;9,73;0,080;9,58;9,89;0,82;387.495;43.207
;;Urbana ;11,01;0,109;10,80;11,23;0,99;261.018;24.171
;;Rural ;6,85;0,085;6,69;7,02;1,24;126.477;19.036
;2014;Nacional ;9,80;0,064;9,68;9,93;0,66;578.877;61.069
;;Urbana ;10,86;0,076;10,71;11,01;0,70;411.047;37.628
;;Rural ;7,38;0,104;7,17;7,58;1,41;167.830;23.441
;2015;Nacional ;10,15;0,056;10,04;10,25;0,55;581.888;59.282
;;Urbana ;11,26;0,065;11,13;11,39;0,58;410.971;36.642
;;Rural ;7,54;0,092;7,36;7,72;1,22;170.917;22.640
;2016;Nacional ;10,13;0,060;10,01;10,24;0,59;604.907;61.240
;;Urbana ;11,17;0,067;11,04;11,30;0,60;428.291;38.045
;;Rural ;7,72;0,104;7,51;7,92;1,35;176.616;23.195
;2017;Nacional ;10,17;0,069;10,04;10,31;0,68;602.899;60.269
;;Urbana ;11,31;0,069;11,18;11,45;0,61;428.347;37.584
;;Rural ;7,50;0,119;7,26;7,73;1,59;174.552;22.685
;2018;Nacional ;10,15;0,053;10,05;10,25;0,52;507.108;52.174
;;Urbana ;11,40;0,064;11,28;11,53;0,57;350.933;31.964
;;Rural ;7,23;0,073;7,09;7,38;1,01;156.175;20.210
;2019;Nacional ;10,27;0,056;10,16;10,38;0,54;239.432;23.981
;;Urbana ;11,48;0,070;11,34;11,62;0,61;172.177;15.043
;;Rural ;7,42;0,081;7,26;7,58;1,10;67.255;8.938
;2020;Nacional ;10,53;0,065;10,40;10,65;0,62;224.343;24.211
;;Urbana ;11,76;0,086;11,59;11,92;0,73;110.885;9.507
;;Rural ;7,64;0,061;7,52;7,76;0,80;113.458;14.704
