;;;;;;;;;
; Proporción de la población con acceso a la electricidad ;;;;;;;;
;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral 
;2007;Nacional ;96,81;0,002;96,39;97,24;0,22;18.129;18.933
;;Urbana ;99,63;0,001;99,50;99,77;0,07;10.625;10.684
;;Rural ;90,70;0,007;89,40;91,99;0,73;7.504;8.249
;2008;Nacional ;97,21;0,002;96,82;97,59;0,20;18.699;19.394
;;Urbana ;99,59;0,001;99,42;99,76;0,09;10.885;10.950
;;Rural ;92,14;0,006;91,01;93,28;0,63;7.814;8.444
;2009;Nacional ;96,47;0,002;96,01;96,93;0,24;18.666;19.437
;;Urbana ;98,98;0,002;98,64;99,33;0,18;10.810;10.923
;;Rural ;91,16;0,006;89,94;92,38;0,68;7.856;8.514
;2010;Nacional ;97,46;0,002;97,07;97,86;0,21;20.005;20.677
;;Urbana ;99,72;0,001;99,61;99,82;0,05;11.429;11.477
;;Rural ;92,66;0,006;91,47;93,85;0,65;8.576;9.200
;2011;Nacional ;96,87;0,002;96,43;97,32;0,23;18.035;18.776
;;Urbana ;99,78;0,000;99,70;99,86;0,04;10.646;10.692
;;Rural ;91,16;0,006;89,92;92,40;0,69;7.389;8.084
;2012;Nacional ;97,20;0,002;96,83;97,57;0,19;19.116;19.840
;;Urbana ;99,63;0,001;99,50;99,76;0,07;11.078;11.146
;;Rural ;92,33;0,005;91,31;93,36;0,57;8.038;8.694
;2013;Nacional ;98,03;0,002;97,66;98,41;0,20;20.753;21.303
;;Urbana ;99,55;0,001;99,35;99,75;0,10;11.758;11.807
;;Rural ;94,73;0,006;93,61;95,86;0,60;8.995;9.496
;2014;Nacional ;98,98;0,001;98,81;99,14;0,08;29.790;30.365
;;Urbana ;99,83;0,000;99,75;99,92;0,04;18.488;18.519
;;Rural ;97,06;0,003;96,55;97,56;0,27;11.302;11.846
;2015;Nacional ;98,83;0,001;98,59;99,06;0,12;29.487;30.033
;;Urbana ;99,87;0,000;99,80;99,94;0,03;18.483;18.517
;;Rural ;96,40;0,004;95,65;97,14;0,39;11.004;11.516
;2016;Nacional ;98,74;0,001;98,47;99,02;0,14;29.850;30.338
;;Urbana ;99,78;0,001;99,67;99,89;0,05;18.746;18.785
;;Rural ;96,36;0,004;95,51;97,22;0,45;11.104;11.553
;2017;Nacional ;99,08;0,001;98,88;99,27;0,10;29.623;30.023
;;Urbana ;99,87;0,000;99,80;99,95;0,04;18.591;18.613
;;Rural ;97,23;0,003;96,61;97,84;0,32;11.032;11.410
;2018;Nacional ;99,06;0,001;98,90;99,23;0,08;25.161;25.677
;;Urbana ;99,79;0,001;99,69;99,89;0,05;15.534;15.567
;;Rural ;97,43;0,002;96,95;97,91;0,25;9.627;10.110
;2019;Nacional ;99,09;0,001;98,91;99,28;0,09;11.402;11.528
;;Urbana ;99,84;0,000;99,75;99,93;0,05;7.119;7.130
;;Rural ;97,40;0,003;96,84;97,97;0,30;4.283;4.398
;2020;Nacional ;98,85;0,002;98,54;99,16;0,16;5.724;5.832
;;Urbana ;99,66;0,001;99,40;99,92;0,13;2.246;2.253
;;Rural ;97,07;0,004;96,27;97,88;0,42;3.478;3.579
