;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;Índice ;;;;
;;;;;;;;;;;
 Período ;;Incidencia (1);;;;;;;;;
Junio;    2007 (2);-;;;;;;;;;
;2008;15,5;;;;;;;;;
;   2009 (2);-;;;;;;;;;
;2010;14,8;;;;;;;;;
;2011;12,4;;;;;;;;;
;2012;9,4;;;;;;;;;
;2013;8,5;;;;;;;;;
;2014;8,0;;;;;;;;;
;2015;7,4;;;;;;;;;
;2016;8,6;;;;;;;;;
;2017;8,4;;;;;;;;;
;2018;9,0;;;;;;;;;
;2019;9,5;;;;;;;;;
;2021;14,7;;;;;;;;;
;2022;10,7;;;;;;;;;
Diciembre;2007;16,5;;;;;;;;;
;2008;15,7;;;;;;;;;
;2009;15,4;;;;;;;;;
;2010;13,1;;;;;;;;;
;2011;11,6;;;;;;;;;
;2012;11,2;;;;;;;;;
;2013;8,6;;;;;;;;;
;2014;7,7;;;;;;;;;
;2015;8,5;;;;;;;;;
;2016;8,7;;;;;;;;;
;2017;7,9;;;;;;;;;
;2018;8,4;;;;;;;;;
;2019;8,9;;;;;;;;;
;2020;15,4;;;;;;;;;
;2021;10,5;;;;;;;;;
;2022;8,2;;;;;;;;;
;;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;;
Notas:  (1) Los datos se encuentran expresados en porcentajes.;;;;;;;;;;;
              (2) La información en junio 2007 y junio 2009 solo fue  representativa a nivel urbano.;;;;;;;;;;;
"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;;
