Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS,Nacionalidad
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,2041,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,1150,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,1879,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,980,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,3920,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,2130,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,2148,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,1187,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,2011,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,1045,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,4159,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,2232,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,1055,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,1203,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,2258,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,1983,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,2135,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Total,4118,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,2170,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,5,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Hombre,1228,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,5,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1011,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Solicitantes de refugio de nacionalidad venezolana,Total,Mujer,2046,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por solicitante a la persona que fue admitida al trámite de Determinación de la Condición de Refugiado.",2022,5,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
